time,CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4
4.95,27,-92,-125,22
4.96,31,-90,-127,20
4.97,34,-67,-108,7
4.98,43,-38,-87,-12
4.99,55,-34,-94,-21
5,64,-30,-100,-28
5.01,65,-36,-108,-25
5.02,69,-27,-102,-32
5.03,68,-15,-89,-37
5.04,66,-9,-80,-39
5.05,71,13,-64,-52
5.06,72,12,-65,-52
5.07,80,3,-83,-52
5.08,101,57,-50,-89
5.09,117,102,-22,-120
5.1,132,104,-35,-129
5.11,153,132,-28,-153
5.12,176,174,-8,-185
5.13,203,229,20,-227
5.14,230,269,33,-260
5.15,245,289,39,-279
5.16,257,301,38,-290
5.17,257,304,41,-291
5.18,241,299,52,-281
5.19,211,265,48,-248
5.2,159,217,52,-199
5.21,96,153,50,-135
5.22,48,82,29,-76
5.23,10,31,15,-30
5.24,-25,-10,9,7
5.25,-39,-43,-10,31
5.26,-40,-73,-39,46
5.27,-38,-80,-47,49
5.28,-36,-62,-32,38
5.29,-35,-51,-22,33
5.3,-36,-58,-28,37
5.31,-28,-57,-35,32
5.32,-16,-46,-36,21
5.33,-14,-44,-36,19
5.34,-7,-28,-26,7
5.35,-8,-26,-23,7
5.36,-12,-49,-42,21
5.37,-8,-29,-27,8
5.38,0,-9,-15,-6
5.39,2,-17,-25,-3
5.4,-3,-5,-8,-6
5.41,-1,3,-2,-11
5.42,5,-3,-13,-11
5.43,7,1,-11,-14
5.44,3,-5,-13,-9
5.45,3,-15,-23,-4
5.46,2,-13,-20,-5
5.47,4,-2,-11,-12
5.48,5,2,-9,-13
5.49,-1,-5,-10,-7
5.5,-4,-19,-21,2
5.51,-1,-28,-33,5
5.52,1,-32,-39,5
5.53,-2,-38,-42,10
5.54,1,-32,-40,5
5.55,4,-27,-37,1
5.56,4,-24,-35,0
5.57,8,-15,-29,-7
5.58,7,-25,-39,-1
5.59,4,-12,-22,-6
5.6,8,-1,-16,-14
5.61,11,-20,-38,-6
5.62,12,-4,-23,-15
5.63,8,-2,-17,-13
5.64,7,-28,-41,0
5.65,10,-33,-49,2
5.66,6,-30,-42,2
5.67,4,-20,-30,-2
5.68,6,-8,-20,-9
5.69,10,-18,-34,-6
5.7,13,-12,-31,-11
5.71,14,16,-5,-26
5.72,9,12,-3,-21
5.73,12,0,-18,-17
5.74,19,0,-27,-21
5.75,20,4,-23,-23
5.76,17,0,-24,-19
5.77,18,2,-23,-20
5.78,23,5,-25,-24
5.79,21,-6,-33,-18
5.8,22,13,-16,-27
5.81,21,18,-9,-30
5.82,18,-5,-29,-16
5.83,25,6,-25,-26
5.84,30,39,2,-45
5.85,26,46,14,-46
5.86,26,56,24,-51
5.87,31,75,37,-64
5.88,31,84,46,-68
5.89,41,104,56,-83
5.9,51,134,77,-103
5.91,58,200,136,-139
5.92,69,257,182,-174
5.93,75,243,162,-170
5.94,73,210,130,-153
5.95,45,123,71,-94
5.96,1,13,5,-17
5.97,-5,-29,-31,6
5.98,5,-43,-54,9
5.99,6,-41,-53,7
6,6,-38,-51,6
6.01,5,-49,-60,11
6.02,14,-33,-54,-1
6.03,18,-27,-52,-5
6.04,18,-29,-52,-5
6.05,13,-13,-33,-10
6.06,-7,33,33,-23
6.07,97,86,-18,-102
6.08,419,509,85,-476
6.09,580,772,184,-687
6.1,267,156,-119,-221
6.11,-65,-264,-207,156
6.12,-78,-291,-219,175
6.13,-7,-237,-236,112
6.14,23,-91,-119,24
6.15,31,-22,-59,-15
6.16,31,3,-33,-27
6.17,29,17,-18,-33
6.18,38,27,-17,-43
6.19,44,33,-16,-49
6.2,41,50,3,-56
